difficulty,gas_limit,gas_used,number,size,timestamp,timestamp(days),timestamp(time),total_difficulty,transaction_count,col_no_after_duplication
338609654774,5000,0,6913,546,2015-07-31 00:00:04 UTC,31/7/2015,00:00:04 UTC,8.39E+14,0,0
822790747594,5000,0,13775,539,2015-08-01 00:00:03 UTC,1/8/2015,00:00:03 UTC,4.98E+15,0,19
957117744121,5000,0,19068,539,2015-08-02 00:00:08 UTC,2/8/2015,00:00:08 UTC,9.67E+15,0,30
1102008021427,5000,0,24426,540,2015-08-03 00:00:16 UTC,3/8/2015,00:00:16 UTC,1.51E+16,0,37
1154167803968,5000,0,29706,532,2015-08-04 00:00:01 UTC,4/8/2015,00:00:01 UTC,2.11E+16,0,46
1291779740845,5003,0,35074,540,2015-08-05 00:00:28 UTC,5/8/2015,00:00:28 UTC,2.76E+16,0,57
1364206084639,5018,0,40309,547,2015-08-06 00:00:05 UTC,6/8/2015,00:00:05 UTC,3.46E+16,0,67
1444235265840,15449,0,45425,542,2015-08-07 00:00:08 UTC,7/8/2015,00:00:08 UTC,4.16E+16,0,76
1531187246378,446165,0,50614,527,2015-08-08 00:00:09 UTC,8/8/2015,00:00:09 UTC,4.93E+16,0,80
1606800568436,3141592,21000,55870,656,2015-08-09 00:00:09 UTC,9/8/2015,00:00:09 UTC,5.76E+16,1,88
1740549173923,3141592,42000,60993,772,2015-08-10 00:00:55 UTC,10/8/2015,00:00:55 UTC,6.64E+16,2,95
1947150873009,3141592,31789,66248,663,2015-08-11 00:00:10 UTC,11/8/2015,00:00:10 UTC,7.60E+16,1,99
2172957970708,3141592,0,71528,517,2015-08-12 00:00:03 UTC,12/8/2015,00:00:03 UTC,8.68E+16,0,108
2247139830669,3141592,0,76652,549,2015-08-13 00:00:05 UTC,13/8/2015,00:00:05 UTC,9.81E+16,0,117
2418740225558,3141592,0,81938,542,2015-08-14 00:00:06 UTC,14/8/2015,00:00:06 UTC,1.10E+17,0,121
3178724935655,3141592,0,87747,542,2015-08-15 00:00:03 UTC,15/8/2015,00:00:03 UTC,1.26E+17,0,126
3633207269328,3141592,0,93130,542,2015-08-16 00:00:30 UTC,16/8/2015,00:00:30 UTC,1.44E+17,0,134
3882187087048,3141592,21000,98261,654,2015-08-17 00:00:30 UTC,17/8/2015,00:00:30 UTC,1.63E+17,1,139
4205224486204,3141589,0,103608,542,2015-08-18 00:00:27 UTC,18/8/2015,00:00:27 UTC,1.84E+17,0,144
4327693439968,3141592,21000,108556,654,2015-08-19 00:00:12 UTC,19/8/2015,00:00:12 UTC,2.05E+17,1,149
4444909570653,3141592,0,113748,549,2015-08-20 00:00:27 UTC,20/8/2015,00:00:27 UTC,2.28E+17,0,158
4356846757310,3141592,0,117772,541,2015-08-21 00:00:05 UTC,21/8/2015,00:00:05 UTC,2.46E+17,0,166
4545377540424,3141592,0,122860,541,2015-08-22 00:00:03 UTC,22/8/2015,00:00:03 UTC,2.69E+17,0,175
5124781640828,3141592,0,128131,517,2015-08-23 00:00:04 UTC,23/8/2015,00:00:04 UTC,2.94E+17,0,182
5049706707281,3141592,0,133144,541,2015-08-24 00:00:16 UTC,24/8/2015,00:00:16 UTC,3.20E+17,0,192
5268158844843,3141592,0,138328,541,2015-08-25 00:00:26 UTC,25/8/2015,00:00:26 UTC,3.47E+17,0,196
5413551569627,3141592,21000,143425,646,2015-08-26 00:00:36 UTC,26/8/2015,00:00:36 UTC,3.73E+17,1,209
5821459653043,3141592,84000,148429,997,2015-08-27 00:00:22 UTC,27/8/2015,00:00:22 UTC,4.01E+17,4,218
6058833310729,3141592,0,153136,541,2015-08-28 00:00:09 UTC,28/8/2015,00:00:09 UTC,4.29E+17,0,225
6305926620734,3141592,42000,157789,746,2015-08-29 00:00:19 UTC,29/8/2015,00:00:19 UTC,4.58E+17,2,233
6728844540591,3141592,0,162119,541,2015-08-30 00:01:18 UTC,30/8/2015,00:01:18 UTC,4.87E+17,0,238
6966162493863,3141592,63000,166273,878,2015-08-31 00:00:16 UTC,31/8/2015,00:00:16 UTC,5.15E+17,3,241
7462638668839,3141592,0,170395,541,2015-09-01 00:00:20 UTC,1/9/2015,00:00:20 UTC,5.45E+17,0,245
7741140222687,3141592,21000,174333,1192,2015-09-02 00:01:14 UTC,2/9/2015,00:01:14 UTC,5.75E+17,1,250
9383883436119,3141592,28266,177910,845,2015-09-03 00:00:14 UTC,3/9/2015,00:00:14 UTC,6.05E+17,1,255
7070106464763,3141592,237933,181293,2576,2015-09-04 00:00:18 UTC,4/9/2015,00:00:18 UTC,6.33E+17,1,259
6226915075841,3141592,0,185736,541,2015-09-05 00:00:59 UTC,5/9/2015,00:00:59 UTC,6.62E+17,0,265
6330531854424,3141592,279869,190657,2801,2015-09-06 00:00:20 UTC,6/9/2015,00:00:20 UTC,6.92E+17,3,272
6314431353480,3141592,84000,195635,991,2015-09-07 00:00:11 UTC,7/9/2015,00:00:11 UTC,7.24E+17,4,279
6212953867250,3141592,300613,200469,2908,2015-09-08 00:00:47 UTC,8/9/2015,00:00:47 UTC,7.54E+17,4,282
6107074762325,3141592,0,205393,1081,2015-09-09 00:00:07 UTC,9/9/2015,00:00:07 UTC,7.84E+17,0,287
6272603812756,3141592,0,210427,539,2015-09-10 00:00:27 UTC,10/9/2015,00:00:27 UTC,8.15E+17,0,296
6352057276732,3141592,238893,215430,2578,2015-09-11 00:00:32 UTC,11/9/2015,00:00:32 UTC,8.47E+17,1,305
6813913833387,3141592,300933,220571,2910,2015-09-12 00:00:02 UTC,12/9/2015,00:00:02 UTC,8.81E+17,4,311
6957720491487,3141592,21000,225597,632,2015-09-13 00:00:07 UTC,13/9/2015,00:00:07 UTC,9.15E+17,1,317
6929872032790,3141592,258741,230568,2665,2015-09-14 00:01:12 UTC,14/9/2015,00:01:12 UTC,9.50E+17,2,330
6586157453691,3141592,0,235419,539,2015-09-15 00:00:13 UTC,15/9/2015,00:00:13 UTC,9.82E+17,0,332
6262554624543,3141592,42000,240261,762,2015-09-16 00:00:27 UTC,16/9/2015,00:00:27 UTC,1.01E+18,2,339
6222290041622,3141592,238829,245217,2578,2015-09-17 00:00:36 UTC,17/9/2015,00:00:36 UTC,1.04E+18,1,344
5768254587284,3141592,237677,250025,2578,2015-09-18 00:00:17 UTC,18/9/2015,00:00:17 UTC,1.07E+18,1,349
5552171232042,3141592,280829,254914,2799,2015-09-19 00:00:14 UTC,19/9/2015,00:00:14 UTC,1.10E+18,3,353
5786779453209,3141592,0,259992,539,2015-09-20 00:00:02 UTC,20/9/2015,00:00:02 UTC,1.13E+18,0,357
6530774531611,3141592,42000,265297,767,2015-09-21 00:00:19 UTC,21/9/2015,00:00:19 UTC,1.16E+18,2,367
6665311281914,3141592,362589,270372,3217,2015-09-22 00:00:34 UTC,22/9/2015,00:00:34 UTC,1.19E+18,7,370
6756295172707,3141592,238829,275423,2576,2015-09-23 00:00:14 UTC,23/9/2015,00:00:14 UTC,1.23E+18,1,375
7052033449885,3141592,300613,280588,2916,2015-09-24 00:00:15 UTC,24/9/2015,00:00:15 UTC,1.26E+18,4,379
6948718827822,3141592,259829,285609,2666,2015-09-25 00:00:17 UTC,25/9/2015,00:00:17 UTC,1.30E+18,2,383
7168413777493,3141592,258741,290736,2689,2015-09-26 00:00:16 UTC,26/9/2015,00:00:16 UTC,1.33E+18,2,389
7252192594005,3141592,63000,295665,856,2015-09-27 00:00:16 UTC,27/9/2015,00:00:16 UTC,1.37E+18,3,401
7056007585443,3141592,42000,300438,762,2015-09-28 00:00:08 UTC,28/9/2015,00:00:08 UTC,1.41E+18,2,406
6402156497186,3141592,238829,305176,2576,2015-09-29 00:00:02 UTC,29/9/2015,00:00:02 UTC,1.44E+18,1,411
5763757241187,3141592,269493,309816,3334,2015-09-30 00:00:46 UTC,30/9/2015,00:00:46 UTC,1.47E+18,3,416
5445938686269,3141592,63000,314573,878,2015-10-01 00:00:17 UTC,1/10/2015,00:00:17 UTC,1.49E+18,3,419
5919390211229,3141592,279741,319783,2803,2015-10-02 00:00:13 UTC,2/10/2015,00:00:13 UTC,1.52E+18,3,425
6178511480519,3141592,259701,324926,2688,2015-10-03 00:01:00 UTC,3/10/2015,00:01:00 UTC,1.55E+18,2,430
6342846411907,3141592,615613,330003,4601,2015-10-04 00:00:41 UTC,4/10/2015,00:00:41 UTC,1.58E+18,19,435
6216542735586,3141592,301765,334889,2913,2015-10-05 00:00:13 UTC,5/10/2015,00:00:13 UTC,1.61E+18,4,439
6425716956001,3141592,279741,339898,2797,2015-10-06 00:00:16 UTC,6/10/2015,00:00:16 UTC,1.65E+18,3,443
6089174454433,3141592,301829,344705,2912,2015-10-07 00:00:21 UTC,7/10/2015,00:00:21 UTC,1.68E+18,4,447
5970753550089,3141592,321741,349708,3021,2015-10-08 00:00:15 UTC,8/10/2015,00:00:15 UTC,1.71E+18,5,451
6156503360560,3141592,343893,354860,3667,2015-10-09 00:00:17 UTC,9/10/2015,00:00:17 UTC,1.74E+18,6,456
6258960425954,3141592,258677,359765,2689,2015-10-10 00:00:03 UTC,10/10/2015,00:00:03 UTC,1.77E+18,2,461
5998073097483,3141592,322893,364661,3002,2015-10-11 00:00:21 UTC,11/10/2015,00:00:21 UTC,1.80E+18,5,470
6175678028652,3141592,63000,369734,1413,2015-10-12 00:00:04 UTC,12/10/2015,00:00:04 UTC,1.83E+18,3,482
6272143449461,3141592,238893,374883,2576,2015-10-13 00:00:02 UTC,13/10/2015,00:00:02 UTC,1.86E+18,1,488
6351512342223,3141592,237741,379990,2578,2015-10-14 00:00:24 UTC,14/10/2015,00:00:24 UTC,1.89E+18,1,496
6466658150473,3141592,259829,384924,2690,2015-10-15 00:00:05 UTC,15/10/2015,00:00:05 UTC,1.92E+18,2,501
6124893051243,3141592,336000,389850,2324,2015-10-16 00:00:29 UTC,16/10/2015,00:00:29 UTC,1.95E+18,16,506
5804053411032,3141592,280829,394733,2789,2015-10-17 00:00:28 UTC,17/10/2015,00:00:28 UTC,1.98E+18,3,512
6043416182162,3141592,2602523,399789,10234,2015-10-18 00:00:37 UTC,18/10/2015,00:00:37 UTC,2.01E+18,1,518
5879810229455,3141592,259829,404734,2667,2015-10-19 00:00:15 UTC,19/10/2015,00:00:15 UTC,2.04E+18,2,525
5919521653715,3141592,42000,409709,769,2015-10-20 00:00:11 UTC,20/10/2015,00:00:11 UTC,2.07E+18,2,530
5887185148830,3141592,238893,414699,2578,2015-10-21 00:00:09 UTC,21/10/2015,00:00:09 UTC,2.10E+18,1,536
5993873222586,3141592,237485,419689,2578,2015-10-22 00:00:09 UTC,22/10/2015,00:00:09 UTC,2.13E+18,1,547
5635727727026,3141592,280893,424524,2801,2015-10-23 00:00:42 UTC,23/10/2015,00:00:42 UTC,2.16E+18,3,552
6206932823898,3141592,21000,429787,1189,2015-10-24 00:00:19 UTC,24/10/2015,00:00:19 UTC,2.19E+18,1,561
6403141443509,3141592,21000,434958,655,2015-10-25 00:00:09 UTC,25/10/2015,00:00:09 UTC,2.22E+18,1,569
6481011192896,3141592,258741,440054,2689,2015-10-26 00:00:35 UTC,26/10/2015,00:00:35 UTC,2.26E+18,2,576
6314830049169,3141592,84447,444962,912,2015-10-27 00:00:11 UTC,27/10/2015,00:00:11 UTC,2.29E+18,3,579
6790474132152,3141592,105447,450182,1017,2015-10-28 00:00:14 UTC,28/10/2015,00:00:14 UTC,2.32E+18,4,585
6947389934697,3141592,42000,455150,1305,2015-10-29 00:00:38 UTC,29/10/2015,00:00:38 UTC,2.36E+18,2,590
7202098034699,3141592,0,460307,539,2015-10-30 00:00:01 UTC,30/10/2015,00:00:01 UTC,2.39E+18,0,598
7661813323029,3141592,70868,465539,1336,2015-10-31 00:00:21 UTC,31/10/2015,00:00:21 UTC,2.43E+18,2,607
7698367968660,3141592,71119,470668,796,2015-11-01 00:00:08 UTC,1/11/2015,00:00:08 UTC,2.47E+18,2,615
7693635859365,3141592,113079,475826,1023,2015-11-02 00:00:25 UTC,2/11/2015,00:00:25 UTC,2.51E+18,4,621
7423408495143,3141592,71079,480850,800,2015-11-03 00:00:03 UTC,3/11/2015,00:00:03 UTC,2.55E+18,2,628
7539421263858,3141592,0,485935,541,2015-11-04 00:00:10 UTC,4/11/2015,00:00:10 UTC,2.59E+18,0,633
7679676691753,3141592,126000,491060,1213,2015-11-05 00:00:44 UTC,5/11/2015,00:00:44 UTC,2.63E+18,6,637
7641352336140,3141592,197079,496163,1470,2015-11-06 00:00:33 UTC,6/11/2015,00:00:33 UTC,2.66E+18,8,640
7833052266973,3141592,417201,501305,1548,2015-11-07 00:00:05 UTC,7/11/2015,00:00:05 UTC,2.70E+18,6,647
7587601287643,3141592,131524,506227,1035,2015-11-08 00:00:29 UTC,8/11/2015,00:00:29 UTC,2.74E+18,3,652
7812321130338,3141592,134027,511248,1134,2015-11-09 00:00:22 UTC,9/11/2015,00:00:22 UTC,2.78E+18,5,655
7838201969532,3141592,92091,516272,909,2015-11-10 00:00:07 UTC,10/11/2015,00:00:07 UTC,2.82E+18,3,661
7799133021552,3141592,50113,521325,685,2015-11-11 00:00:12 UTC,11/11/2015,00:00:12 UTC,2.86E+18,1,667
7764072063277,3141592,0,526353,1079,2015-11-12 00:00:02 UTC,12/11/2015,00:00:02 UTC,2.90E+18,0,671
7804970266615,3141592,71113,531433,798,2015-11-13 00:00:13 UTC,13/11/2015,00:00:13 UTC,2.94E+18,2,677
8047815103683,3141592,50113,536551,685,2015-11-14 00:00:08 UTC,14/11/2015,00:00:08 UTC,2.98E+18,1,681
8038971697548,3141592,218560,541678,1498,2015-11-15 00:00:42 UTC,15/11/2015,00:00:42 UTC,3.02E+18,8,689
8473168721563,3141592,197113,546873,1461,2015-11-16 00:00:21 UTC,16/11/2015,00:00:21 UTC,3.06E+18,8,693
8340866760400,3141592,92113,551912,911,2015-11-17 00:00:17 UTC,17/11/2015,00:00:17 UTC,3.10E+18,3,702
8446357313860,3141592,50049,557075,685,2015-11-18 00:00:11 UTC,18/11/2015,00:00:11 UTC,3.14E+18,1,707
8747560075067,3141592,301765,562150,2913,2015-11-19 00:00:05 UTC,19/11/2015,00:00:05 UTC,3.19E+18,4,714
8798041760349,3141592,355750,567127,3181,2015-11-20 00:00:38 UTC,20/11/2015,00:00:38 UTC,3.23E+18,5,717
7576418495857,3141592,354662,571848,3160,2015-11-21 00:00:11 UTC,21/11/2015,00:00:11 UTC,3.27E+18,5,724
7612651045957,3141592,238893,576883,2578,2015-11-22 00:00:05 UTC,22/11/2015,00:00:05 UTC,3.31E+18,1,734
7464561003774,3141592,333662,581932,3074,2015-11-23 00:00:16 UTC,23/11/2015,00:00:16 UTC,3.34E+18,4,742
7588620452617,3141592,313814,587021,2962,2015-11-24 00:01:06 UTC,24/11/2015,00:01:06 UTC,3.38E+18,3,747
7722360360740,3141592,63000,592022,878,2015-11-25 00:00:21 UTC,25/11/2015,00:00:21 UTC,3.42E+18,3,751
7414904595863,3141592,0,596962,541,2015-11-26 00:00:29 UTC,26/11/2015,00:00:29 UTC,3.46E+18,0,757
7238874370822,3141592,333662,601902,3073,2015-11-27 00:00:24 UTC,27/11/2015,00:00:24 UTC,3.50E+18,4,765
7663479587746,3141592,95921,607076,1040,2015-11-28 00:00:20 UTC,28/11/2015,00:00:20 UTC,3.53E+18,3,768
7606728670883,3141592,96368,612084,2036,2015-11-29 00:00:27 UTC,29/11/2015,00:00:27 UTC,3.57E+18,2,778
7866481624066,3141592,61624,617134,1308,2015-11-30 00:00:17 UTC,30/11/2015,00:00:17 UTC,3.61E+18,1,786
7884785493256,3141592,21000,622214,659,2015-12-01 00:00:01 UTC,1/12/2015,00:00:01 UTC,3.65E+18,1,793
7887713090174,3141592,603513,627292,4294,2015-12-02 00:00:02 UTC,2/12/2015,00:00:02 UTC,3.69E+18,4,804
7522181463799,3141592,74921,632116,930,2015-12-03 00:00:17 UTC,3/12/2015,00:00:17 UTC,3.73E+18,2,815
7677022726140,3141592,21000,637321,654,2015-12-04 00:00:07 UTC,4/12/2015,00:00:07 UTC,3.77E+18,1,823
7993673724654,3141592,279741,642329,2805,2015-12-05 00:00:01 UTC,5/12/2015,00:00:01 UTC,3.81E+18,3,832
8210365526933,3141592,238893,647335,2578,2015-12-06 00:00:03 UTC,6/12/2015,00:00:03 UTC,3.85E+18,1,847
7841276339233,3141592,0,652248,541,2015-12-07 00:00:14 UTC,7/12/2015,00:00:14 UTC,3.89E+18,0,853
7643890449511,3141592,21000,657219,657,2015-12-08 00:00:04 UTC,8/12/2015,00:00:04 UTC,3.93E+18,1,862
7208174973241,3141592,42000,662130,769,2015-12-09 00:00:03 UTC,9/12/2015,00:00:03 UTC,3.96E+18,2,871
7497982841021,3141592,21000,667338,657,2015-12-10 00:00:03 UTC,10/12/2015,00:00:03 UTC,4.00E+18,1,882
7899150380796,3141592,21000,672482,657,2015-12-11 00:00:09 UTC,11/12/2015,00:00:09 UTC,4.04E+18,1,887
8057953319105,3141592,1317328,677544,5722,2015-12-12 00:00:14 UTC,12/12/2015,00:00:14 UTC,4.08E+18,8,893
8195888480458,3141592,21000,682620,657,2015-12-13 00:00:02 UTC,13/12/2015,00:00:02 UTC,4.12E+18,1,902
8718988325854,3141620,144055,687900,1182,2015-12-14 00:00:27 UTC,14/12/2015,00:00:27 UTC,4.17E+18,4,908
8633327039739,3141592,660268,692899,2907,2015-12-15 00:00:28 UTC,15/12/2015,00:00:28 UTC,4.21E+18,6,914
8763983774670,3141592,126000,697969,1219,2015-12-16 00:00:06 UTC,16/12/2015,00:00:06 UTC,4.25E+18,6,919
8518365943738,3141592,0,702952,541,2015-12-17 00:00:01 UTC,17/12/2015,00:00:01 UTC,4.30E+18,0,925
8830773122570,3141592,21000,708011,657,2015-12-18 00:00:05 UTC,18/12/2015,00:00:05 UTC,4.34E+18,1,930
8680182822155,3141592,63447,713031,797,2015-12-19 00:00:03 UTC,19/12/2015,00:00:03 UTC,4.39E+18,2,936
8666503916842,3141592,42000,718069,755,2015-12-20 00:00:12 UTC,20/12/2015,00:00:12 UTC,4.43E+18,2,943
8631840857499,3141592,42447,723016,685,2015-12-21 00:00:07 UTC,21/12/2015,00:00:07 UTC,4.47E+18,1,948
8626722254421,3141592,63000,727992,881,2015-12-22 00:00:03 UTC,22/12/2015,00:00:03 UTC,4.51E+18,3,955
8650967703649,3141592,456582,733121,4059,2015-12-23 00:00:19 UTC,23/12/2015,00:00:19 UTC,4.56E+18,8,962
8578416235608,3141592,344397,738233,2815,2015-12-24 00:00:06 UTC,24/12/2015,00:00:06 UTC,4.60E+18,2,970
8750920975038,3141592,42447,743251,685,2015-12-25 00:00:06 UTC,25/12/2015,00:00:06 UTC,4.65E+18,1,978
8534692439929,3141592,339887,748331,3074,2015-12-26 00:00:50 UTC,26/12/2015,00:00:50 UTC,4.69E+18,4,990
8621723480090,3141592,121994,753335,1155,2015-12-27 00:00:23 UTC,27/12/2015,00:00:23 UTC,4.73E+18,4,994
8441660379283,3141592,259893,758353,2692,2015-12-28 00:00:08 UTC,28/12/2015,00:00:08 UTC,4.77E+18,2,1003
8751231470138,3141592,380671,763434,3300,2015-12-29 00:00:23 UTC,29/12/2015,00:00:23 UTC,4.82E+18,6,1012
8530929476585,3141592,318823,768415,2965,2015-12-30 00:00:51 UTC,30/12/2015,00:00:51 UTC,4.86E+18,3,1023
8664308525284,3141592,63000,773444,883,2015-12-31 00:00:03 UTC,31/12/2015,00:00:03 UTC,4.90E+18,3,1027
8470917144249,3141592,63447,778483,799,2016-01-01 00:00:04 UTC,1/1/2016,00:00:04 UTC,4.95E+18,2,1037
8355106178451,3141592,100994,783368,1044,2016-01-02 00:00:24 UTC,2/1/2016,00:00:24 UTC,4.99E+18,3,1046
8200532664658,3141592,21000,788463,658,2016-01-03 00:00:06 UTC,3/1/2016,00:00:06 UTC,5.03E+18,1,1050
8357157539271,3141592,164441,793597,1296,2016-01-04 00:00:29 UTC,4/1/2016,00:00:29 UTC,5.07E+18,5,1058
8190538441076,3141592,21000,798693,658,2016-01-05 00:00:06 UTC,5/1/2016,00:00:06 UTC,5.11E+18,1,1064
8507453908148,3141592,867714,803820,3651,2016-01-06 00:00:41 UTC,6/1/2016,00:00:41 UTC,5.16E+18,8,1068
8564795981433,3141592,185441,808909,1404,2016-01-07 00:00:25 UTC,7/1/2016,00:00:25 UTC,5.20E+18,6,1070
8084411150172,3141592,525373,813890,3697,2016-01-08 00:00:34 UTC,8/1/2016,00:00:34 UTC,5.24E+18,5,1080
8492006947852,3141592,570759,819066,4301,2016-01-09 00:00:22 UTC,9/1/2016,00:00:22 UTC,5.28E+18,15,1086
8482704036261,3141592,49280,824165,816,2016-01-10 00:00:05 UTC,10/1/2016,00:00:05 UTC,5.33E+18,1,1093
8506581400579,3141592,117889,829258,1200,2016-01-11 00:00:08 UTC,11/1/2016,00:00:08 UTC,5.37E+18,5,1102
9027630951996,3141592,380757,834365,3298,2016-01-12 00:00:35 UTC,12/1/2016,00:00:35 UTC,5.41E+18,6,1110
8778965371145,3141592,381845,839295,3299,2016-01-13 00:00:40 UTC,13/1/2016,00:00:40 UTC,5.46E+18,6,1117
8562123653967,3141592,338693,844297,3074,2016-01-14 00:00:28 UTC,14/1/2016,00:00:28 UTC,5.50E+18,4,1122
9046750013379,3141592,398714,849387,3300,2016-01-15 00:00:38 UTC,15/1/2016,00:00:38 UTC,5.55E+18,6,1129
9210593082780,3141592,482012,854471,2810,2016-01-16 00:00:07 UTC,16/1/2016,00:00:07 UTC,5.59E+18,3,1136
9187093544570,3141592,139524,859517,1074,2016-01-17 00:00:12 UTC,17/1/2016,00:00:12 UTC,5.64E+18,3,1141
9048064634864,3141592,0,864553,541,2016-01-18 00:00:02 UTC,18/1/2016,00:00:02 UTC,5.68E+18,0,1149
9706026243078,3141592,21000,869626,658,2016-01-19 00:00:09 UTC,19/1/2016,00:00:09 UTC,5.73E+18,1,1159
9480197772429,3141592,139524,874597,1070,2016-01-20 00:00:28 UTC,20/1/2016,00:00:28 UTC,5.78E+18,3,1166
9586188712743,3141592,42447,879635,685,2016-01-21 00:00:05 UTC,21/1/2016,00:00:05 UTC,5.83E+18,1,1171
9717145879154,3141592,63447,884598,797,2016-01-22 00:00:04 UTC,22/1/2016,00:00:04 UTC,5.87E+18,2,1182
9985430957082,3141592,139524,889605,1072,2016-01-23 00:00:24 UTC,23/1/2016,00:00:24 UTC,5.92E+18,3,1190
9815258164880,3141592,139077,894533,1155,2016-01-24 00:01:18 UTC,24/1/2016,00:01:18 UTC,5.97E+18,4,1196
10679040980918,3141592,0,899701,1083,2016-01-25 00:00:04 UTC,25/1/2016,00:00:04 UTC,6.03E+18,0,1200
10189059120672,3141592,321677,904582,3032,2016-01-26 00:00:08 UTC,26/1/2016,00:00:08 UTC,6.08E+18,5,1206
10860730042932,3141592,356928,909734,3073,2016-01-27 00:00:20 UTC,27/1/2016,00:00:20 UTC,6.13E+18,4,1211
10576987664017,3141592,355712,914717,3073,2016-01-28 00:01:02 UTC,28/1/2016,00:01:02 UTC,6.18E+18,4,1217
10742318389106,3141592,464026,919776,4383,2016-01-29 00:00:05 UTC,29/1/2016,00:00:05 UTC,6.24E+18,6,1222
10899685413770,3141592,522250,924757,4200,2016-01-30 00:00:11 UTC,30/1/2016,00:00:11 UTC,6.29E+18,6,1229
10803121625403,3141592,282609,929774,2803,2016-01-31 00:00:06 UTC,31/1/2016,00:00:06 UTC,6.35E+18,3,1235
10660646762761,3141592,522314,934646,4198,2016-02-01 00:00:03 UTC,1/2/2016,00:00:03 UTC,6.40E+18,6,1240
10848509753609,3141592,305637,939661,2279,2016-02-02 00:00:05 UTC,2/2/2016,00:00:05 UTC,6.45E+18,6,1250
10320381101721,3141592,501314,944616,4627,2016-02-03 00:00:03 UTC,3/2/2016,00:00:03 UTC,6.51E+18,5,1257
11190262217277,3141592,502338,949815,4081,2016-02-04 00:00:17 UTC,4/2/2016,00:00:17 UTC,6.56E+18,5,1266
11359626989080,3141592,690250,954877,5081,2016-02-05 00:00:04 UTC,5/2/2016,00:00:04 UTC,6.62E+18,14,1272
11286470748076,3141592,586466,959923,4539,2016-02-06 00:00:03 UTC,6/2/2016,00:00:03 UTC,6.67E+18,9,1282
10874158501101,3141592,113691,964910,1027,2016-02-07 00:00:15 UTC,7/2/2016,00:00:15 UTC,6.73E+18,4,1288
11383552590650,3141592,326637,969997,2393,2016-02-08 00:00:14 UTC,8/2/2016,00:00:14 UTC,6.78E+18,7,1295
11550189274573,3141592,284637,975068,2708,2016-02-09 00:00:16 UTC,9/2/2016,00:00:16 UTC,6.84E+18,5,1303
11594070577993,3141592,592284,980123,3681,2016-02-10 00:00:42 UTC,10/2/2016,00:00:42 UTC,6.90E+18,17,1309
11914242115486,3141592,418776,985084,3416,2016-02-11 00:00:24 UTC,11/2/2016,00:00:24 UTC,6.96E+18,7,1317
11825996314617,3141592,259829,990104,2692,2016-02-12 00:00:03 UTC,12/2/2016,00:00:03 UTC,7.02E+18,2,1325
11865163034901,3141592,480442,995136,3970,2016-02-13 00:00:31 UTC,13/2/2016,00:00:31 UTC,7.08E+18,4,1327
12579664603436,3141592,398864,1000229,3297,2016-02-14 00:00:39 UTC,14/2/2016,00:00:39 UTC,7.14E+18,6,1331
12658422142675,3141592,237677,1005219,2578,2016-02-15 00:00:06 UTC,15/2/2016,00:00:06 UTC,7.20E+18,1,1333
